,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
8188,11.0,-79.0,-8.5,21.0,-117.16,0,0,0,0,0,1,0
8189,9.067,-113.133,-11.467,2.133,-118.763,0,1,0,0,0,0,1
8190,11.0,-75.0,-8.0,19.9,-116.45,1,0,0,1,0,0,0
8191,0.0,-110.0,-8.0,5.8,-118.82,0,1,0,0,1,0,0
8192,12.834,-84.0,-13.25,17.184,-116.335,0,0,0,0,0,0,0
8193,5.0,-106.333,-18.333,1.175,-117.588,0,0,0,0,1,0,0
8194,6.0,-104.0,-15.0,9.7,-111.72,0,0,0,0,0,1,0
8195,15.0,-95.0,-9.0,18.2,-117.45,0,0,0,0,0,0,1
8196,7.5,-109.0,-17.0,12.4,-118.31,0,0,0,0,0,0,0
8197,6.167000000000001,-110.75,-16.75,9.283,-118.678,0,1,0,0,0,0,1
8198,15.0,-102.0,-11.5,16.0,-117.57,0,0,0,0,0,0,0
8199,13.0,-95.0,-13.5,17.2,-113.72,0,0,0,0,1,0,0
8200,9.334,-102.0,-15.25,4.1,-115.479,0,0,1,0,0,0,0
8201,14.333,-83.0,-8.0,17.067,-112.87,0,0,0,0,0,0,1
8202,15.0,-91.0,-11.5,16.6,-116.35,0,0,0,0,0,0,0
8203,13.0,-66.0,-9.5,15.2,-116.75,0,0,0,0,0,0,0
8204,8.375,-99.834,-12.625,14.95,-117.713,1,0,0,0,1,0,0
8205,9.75,-99.333,-15.167,13.0,-118.35,0,0,0,0,0,0,0
8206,11.0,-92.0,-13.5,16.75,-116.72,0,0,0,0,0,0,0
8207,9.0,-88.0,-12.0,13.9,-113.27,0,0,0,0,0,0,0
8208,8.0,-99.0,-13.5,16.7,-117.61,0,0,0,0,0,0,1
8209,10.0,-93.0,-9.25,9.45,-116.185,0,0,0,0,0,0,0
8210,5.5,-119.709,-16.084,4.684,-117.74,0,1,0,0,0,0,0
8211,12.0,-105.0,-12.0,4.9,-116.67,0,0,0,0,0,0,0
8212,11.0,-96.0,-11.5,14.3,-118.27,0,0,0,0,0,0,1
8213,8.5,-94.0,-17.5,15.5,-117.27,0,0,0,0,0,0,0
8214,10.0,-102.0,-19.0,19.0,-118.57,1,0,0,0,0,1,0
8215,7.778,-100.125,-16.875,16.833,-115.373,0,0,1,0,0,0,0
8216,14.1,-85.0,-8.0,16.59,-118.195,0,0,0,0,0,1,0
8217,13.5,-111.0,-11.0,11.6,-117.67,0,0,0,0,0,1,0
8218,12.0,-109.0,-10.5,10.9,-119.0,1,1,1,0,0,0,0
8219,5.789,-114.019,-18.654,4.493,-117.951,0,1,0,0,1,0,0
8220,10.0,-103.0,-12.5,13.6,-118.295,1,0,0,0,0,1,0
8221,15.0,-69.5,-9.75,16.2,-117.52,0,0,0,0,0,0,0
8222,14.0,-89.0,-7.5,14.65,-117.913,0,0,0,0,0,0,0
8223,4.0,-128.0,-18.5,0.4,-117.8,1,1,0,0,0,1,0
8224,9.333,-97.5,-14.25,13.75,-117.22,0,0,0,0,0,0,1
8225,5.0,-93.0,-11.5,7.4,-116.45,0,0,0,0,0,0,0
8226,11.933,-102.75,-13.5,15.42,-118.315,0,0,0,0,0,0,0
8227,15.0,-92.0,-8.5,16.5,-116.55,0,0,0,0,0,0,0
8228,6.417000000000001,-110.708,-13.958,6.629,-115.558,0,0,0,0,0,0,0
8229,6.0,-105.0,-15.5,-5.9,-117.55,0,0,0,0,0,0,0
8230,7.0,-125.0,-13.5,10.4,-118.62,1,1,1,0,0,0,0
8231,13.0,-64.5,-10.75,22.1,-118.135,0,0,0,0,1,0,0
8232,7.25,-104.834,-13.75,8.275,-115.565,1,0,0,0,0,0,0
8233,11.091,-93.5,-12.125,14.988,-115.613,1,0,0,0,1,0,0
8234,10.0,-106.0,-11.0,14.3,-116.637,1,0,0,0,0,0,0
8235,9.0,-106.0,-11.5,8.4,-116.75,0,0,0,0,1,0,0
8236,13.0,-106.0,-5.0,7.9,-119.07,0,0,0,0,0,0,1
8237,8.0,-125.0,-13.5,7.4,-118.7,0,0,0,0,0,0,0
8238,12.0,-102.0,-9.5,15.2,-116.74,0,0,0,0,0,0,1
8239,4.0,-119.0,-17.5,6.8,-118.53,0,1,0,0,1,0,0
8240,6.625,-103.5,-17.0,15.3,-117.32,0,0,0,0,0,0,0
8241,13.25,-85.667,-10.5,18.7,-118.222,0,0,0,0,0,0,0
8242,6.75,-111.5,-10.625,5.85,-116.875,1,1,0,0,1,0,0
8243,15.0,-52.0,-5.5,16.9,-118.8,0,0,0,0,1,0,0
